;id;type;url;author;metadata_created;title;description;tags
0;0a421017-603b-4e79-84e3-14361e398496;dataset;https://grandestprod-backoffice.data4citizen.com//dataset/contours-des-bureaux-de-vote;;2022-02-22T22:55:04.847545;contour bureau vote;data programmée source connaissance territoire commentaire contour bureau vote ville suivant a texte arrêté préfectoral arrêté modificatif donnée saisie suivant filaire lecture donc faire rue non bâtiment;bureau vote élection
1;591c761c-b82f-4826-99f2-e62d3d40f0b5;dataset;https://grandestprod-backoffice.data4citizen.com//dataset/donnees-zonage-des-bureaux-de-vote-de-la-ville-de-colmar;;2022-04-13T08:45:03.862377;zonage bureau vote ville;zone vote ville zone englobe certain nombre doivent aller voter bureau vote particulier;service publique service public vote bureau donnée ouvertes zonage élection
2;5adc8703-c083-49ca-abce-fb594840137b;dataset;https://grandestprod-backoffice.data4citizen.com//dataset/perimetres-des-bureaux-de-vote-depuis-2015-sur-mulhouse;;2022-01-25T11:42:16.805784;périmètre bureau vote depuis;caractéristique bureau vote;bureau canton périmètre vote élection
3;fc9da600-bda6-475c-9fd2-7e1496f13154;dataset;https://grandestprod-backoffice.data4citizen.com//dataset/bureaux-de-vote;;2022-02-23T00:18:21.372372;bureau vote;data programmée source connaissance territoire commentaire vote ville;bureau vote
5;c48dce6c-3969-41ef-8633-003916f5440c;dataset;https://grandestprod-backoffice.data4citizen.com//dataset/les-circuits-de-randonnees-pedestres-sur-le-territoire-de-m2a;;2022-01-25T11:11:23.483525;réserve naturel régionale périmètre protection associé grand;réserve naturel régionale périmètre protection associé font partie espace naturel protégé zone désignées géré cadre international communautaire national local vue objectif spécifiques conservation patrimoine naturel réserve naturel régionale espace protégé créé dune région dont patrimoine naturel exceptionnel classement réserve naturel régionale poursuit également protection milieu naturel remarquables classe catégorie selon réglementation objectif gestion mis place réserve naturel régionale peut bénéficier dune superficie additionnelle « zone tampon » protégé dispositif selon cas distingue périmètre protection pris arrêté préfectoral zone protection définies décret périmètre protection peuvent être vaste défini partir dune liste commune notamment cas réserve géologiques référence légales article code;nature paysage nature site protégé donnée ouvertes
6;c26eb84b-7e53-4718-9d6b-a2634949b48b;dataset;https://grandestprod-backoffice.data4citizen.com//dataset/reserve-naturelle-regionale-et-perimetre-de-protection-associe-en-grand-est;;2022-04-05T09:56:07.768467;donnée validation;donnée validation modification fiche;primaire social sport
7;09911ab9-9dd1-4096-836f-f19e4e66664f;dataset;https://grandestprod-backoffice.data4citizen.com//dataset/bpm-donnees-de-validation-2018;;2022-04-26T15:16:21.805301;occupation sol;data programmée source commentaire territoire base donnée géographiques sol complet depuis site a;occupation sol oc
8;bbe415f7-8145-4f0a-b7e8-e1da9bb94807;dataset;https://grandestprod-backoffice.data4citizen.com//dataset/occupation-du-sol-cigal-2012;;2022-02-23T02:10:46.671255;base donnée régionale sol lorrain référentiel régional ème;donnée recueillies concernent sol produit remaniement couche supérieur croûte terrestre sou vie échange manifestent milieu décrit dépasse rarement donnée concernent entre autres caractéristique physique sol épaisseur structure granulométrie paramètre chimiques ph matière organiques capacité également caractéristique hydriques sol information relief sol géologie donnée titre indicatif nomenclature sol base référentiel unité sol décrites également rattachées base donnée peuvent être utile toute étude nécessitant information spatialisées sol production biomasse agricole forestier gestion quantitative eau stockage carbone risque érosion aménagement territoire analyse paysagère archéologie etc base donnée sol géré relance agronomique respecte cahier charge programme national inventaire gestion conservation sol existe plusieurs base donnée échelle différentes référentiel régional ème unité cartographiques sol décrites type sol découpés strate selon type souhaité besoin complémentaire différentes modalité condition cette base donnée définies sélection quelques paramètre issus cette base donnée accessible open data voir ressource associées fiche ouvertes extrait base donnée régionale sol référentiel régional ème;inventaire gestion conservation sol référentiel régional circulation eau donnée pédologie
9;e78209f6-24c5-40bc-abb8-de155d72d41d;dataset;https://grandestprod-backoffice.data4citizen.com//dataset/donnees-base-de-donnees-regionale-des-sols-de-lorraine-referentiel-regional-pedologique-rr-20111;;2022-03-04T14:51:45.622241;hauteur débit cour ’ eau;réseau a continue niveau ’ eau débit cour ’ eau observés temps réel près point mesure ainsi leurs évolution cour dernier jour dernier mesure site flux présenté ici favoriser réutilisation donnée correspond donnée brute niveau ’ eau débit cour ’ eau donnée publiées plus récentes possession délai transmission nécessaire elles correspondent donnée brute produites station mesure automatique flux mis disposition anticipation ’ mise disposition plus large cadre ’ évolution base nationale;banque cour crue sandre
10;55918f16-f1d7-48a2-bfb7-da4efee5316a;dataset;https://grandestprod-backoffice.data4citizen.com//dataset/vigicrues-hauteurs-et-debits-des-cours-deau-a-strasbourg;;2022-02-22T23:43:20.856556;limite administratif commune métropole grand;limite administratif commune métropole;administration action publique unité administratif commune donnée ouvertes grand ville
11;f240ff80-1f93-4766-bc72-e220bce31b41;dataset;https://grandestprod-backoffice.data4citizen.com//dataset/carto-limites-administratives-des-communes-2013-metropole-du-grand-nancy;;2022-01-10T14:19:51.521439;grand;donnée public coopération intercommunal grand mise jour quotidien service connaissance géométrie issue base;limite administratif donnée ouvertes
