Tagsid ,tags_name
     0 ,Alsace Donesol Géoportail IGCS Inventaire Gestion et Conservation des Sols RRP Référentiel Régional Pédologique Soil circulation des eaux données pédologie
     1 ,IMAGERIE RELIEF ET OCCUPATION DU SOL Systèmes de maillage géographique données ouvertes
     2 ,IMAGERIE RELIEF ET OCCUPATION DU SOL Systèmes de maillage géographique données ouvertes mns modèle numérique terrain
     3 ,Grand Est données ouvertes photographie aérienne
     5 ,3D LIDAR Strasbourg opendata3d
     7 ,Hydrographie données ouvertes station hydrométrie surveillance
     8 ,Nature Paysage BiodiversitéZonages Nature Sites protégés données ouvertes
     9 ,
    10 ,ADMINISTRATION ET ACTION PUBLIQUE adresse commune données ouvertes grand nancy ville
    11 ,
    12 ,
    13 ,ALTITUDE CIRCULATION DES EAUX DONNEES GEOGRAPHIQUES DE RÉFÉRENCE DONNÉES OUVERTES GÉOPORTAIL MODELE NUMERIQUE DE SURFACE MODELE NUMERIQUE DE TERRAIN ÉCOULEMENT
    14 ,COMMUNE DONNEES GEOGRAPHIQUES Géoportail LIMITE COMMUNALE Systèmes de maillage géographique UNITE ADMINISTRATIVE données ouvertes
    15 ,3D IMAGERIE RELIEF ET OCCUPATION DU SOL Systèmes de maillage géographique altitude courbe données ouvertes niveau
    16 ,ADMINISTRATION ET ACTION PUBLIQUE Art-sur-Meurthe Dommartemont Essey-lès-Nancy Fléville-devant-Nancy Heillecourt Houdemont Jarville-la-Malgrange Laneuveville-devant-Nancy Laxou Ludres Malzéville Maxéville Nancy Pulnoy Saint-Max Saulxures-lès-Nancy Seichamps Tomblaine Unités administratives Vandœuvre-lès-Nancy Villers-lès-Nancy commune données ouvertes grand nancy ville
    17 ,ADMINISTRATION ET ACTION PUBLIQUE avenue boulevard commune données ouvertes grand nancy route rue ville voie
    18 ,88 OCS OCS GE2 Grand Est Occupation des terres Occupation du Sol ocs ocsge ocsge2
    19 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration coney données ouvertes fontenoy-le-château
    20 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes meurthe
    21 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes madon
    22 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration bussang données ouvertes moselle révision
    23 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes madon
    24 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes moselle
    25 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes saône
    26 ,Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes
    27 ,Strasbourg cartotheque commune plan quartier
    28 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes inondation naturel ppri pprn risque
    29 ,EauZonages Eau Hydrographie données ouvertes
    30 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes inondation plan de prévention des risques ppri
    31 ,RisqueGestion du risque RisqueInondation Zones à risque naturel données ouvertes inondation ppri prescriptions zonage
    32 ,Strasbourg cartotheque inondation landgraben ppri risques zonage zorn
    33 ,Strasbourg bruche inondation ppri zonage
    34 ,Strasbourg inondation ppri zonage
    35 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes
    36 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes
    37 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes moselle
    38 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes
    39 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes moselotte
    40 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration combeauté données ouvertes ppri
    41 ,Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes
    42 ,Aménagement UrbanismeAssiette Servitude RisqueInondation Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes ppri
    43 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes ppri mortagne
    44 ,Zones de gestion de restriction ou de réglementation et unités de déclaration aléa aménagement données ouvertes prescription prévention risque servitude urbanisme
    45 ,Zones de gestion de restriction ou de réglementation et unités de déclaration aménagement données ouvertes inondation prescription prévention risque servitude urbanisme usage des sols zonage
    46 ,Zones de gestion de restriction ou de réglementation et unités de déclaration aménagement données ouvertes inondation prescription prévention risque servitude urbanisme usage des sols zonage
    47 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes ppri mortagne
    48 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes madon ppri
    49 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes ppri mortagne
    50 ,Zones de gestion de restriction ou de réglementation et unités de déclaration aléa aménagement données ouvertes prescription prévention risque servitude urbanisme
    51 ,Zones de gestion de restriction ou de réglementation et unités de déclaration aléa aménagement données ouvertes prescription prévention risque servitude urbanisme
    52 ,Zones de gestion de restriction ou de réglementation et unités de déclaration aléa aménagement données ouvertes prescription prévention risque servitude urbanisme
    53 ,Zones de gestion de restriction ou de réglementation et unités de déclaration aléa aménagement données ouvertes prescription prévention risque servitude urbanisme
    54 ,Zones de gestion de restriction ou de réglementation et unités de déclaration aléa aménagement données ouvertes prescription prévention risque servitude urbanisme
    55 ,RisqueZonages Risque naturel Zones de gestion de restriction ou de réglementation et unités de déclaration données ouvertes
    56 ,ADMINISTRATION ET ACTION PUBLIQUE Systèmes de maillage géographique données ouvertes orthophoto photos vue vue infrarouge
    57 ,IMAGERIE RELIEF ET OCCUPATION DU SOL MNT Modèle Numérique de Terrain Systèmes de maillage géographique données ouvertes
    58 ,Bâtiments inventaire patrimoine culturel recensement étude œuvre monument
    59 ,Strasbourg inondation nappe ppri remontée zonage
    60 ,ADMINISTRATION ET ACTION PUBLIQUE PFIA Utility and governmental services autorité organisatrice de la mobilité durable données ouvertes.
    61 ,CAC Cadre de Vie Chalons Agglo Châlons en Champagne Environnement Environnement et Cadre de vie Ordures ménagères Ramassage
    62 ,BUS CAC Chalons Agglo Châlons Châlons en Champagne Culture et tourisme Mairie et Démocratie SITAC Transport
    63 ,CAC Cadre de Vie Chalons Agglo Châlons Châlons en Champagne Emballage Environnement Environnement et Cadre de vie
    64 ,CAC Chalons Agglo Châlons Châlons en Champagne Equipement Mairie et Démocratie
    65 ,CMS Collège Crèche Ecole maternelle Ecole élémentaire Enseignement privé Enseignement supérieur Etablissement denseignement Formation professionnelle GEOPORTAIL Groupe scolaire Lycée Lycée professionnel MOISSONNAGE RECENSEMENT Restaurant scolaire Services dutilité publique et services publics association
    66 ,Cadastre
    67 ,Habitats et biotopes Sites protégés Zones de gestion de restriction ou de réglementation et unités de déclaration biodiversite continuite ecologique corridor ecologique données ouvertes elements fragmentants obstacles a lecoulement reservoir de biodiversite sous-trame trame verte et bleue zones a enjeux
    68 ,Lieux de production et sites industriels Site industriel ProductionSite éolien données ouvertes icpe parc éolien
    69 ,DCE PAOT eau
    70 ,alsace champagne-ardennes donnees-ouvertes grand-est lorraine region-biogeographique region-naturelle regions-biogeographiques
    71 ,Aménagement UrbanismeAssiette Servitude Zones de gestion de restriction ou de réglementation et unités de déclaration ddt54 données ouvertes installations classées pm2 servitudes sup utilité publique
    72 ,Strasbourg art cinéma culture exposition musique musée médiathèque patrimoine spectacle
    73 ,CARTE
    74 ,departement population recensement
    75 ,MOISSONNAGE ORTHOPHOTOPLAN Ortho-imagerie PCRS RASTER Vue aérienne
    76 ,ADMINISTRATION ET ACTION PUBLIQUE Systèmes de maillage géographique données ouvertes orthophoto photos vue vue infrarouge
    77 ,3D LIDAR MNT altimetrie altitudes
    78 ,RisqueInondation Zones à risque naturel crue données ouvertes hors ppri inondation risque zone inondable
    79 ,Géoportail MNT données orthophotographie orthophotoplan photographie aérienne
    80 ,Ortho-imagerie aérienne colmar grand pays kaysersberg thermographie
    81 ,ALTIMETRIE Altitude Courbe de niveau GEOPORTAIL METZ METZ METROPOLE MOISSONNAGE Modèle numérique de terrain
    82 ,observatoire population territoire territorial
    83 ,Adresses adresse bal ban données ouvertes secours
    85 ,ADMINISTRATION ET ACTION PUBLIQUE avenue boulevard commune données ouvertes grand nancy route rue ville voie
    86 ,Habitats et biotopes Sites protégés Zones de gestion de restriction ou de réglementation et unités de déclaration biodiversite continuite ecologique corridor ecologique données ouvertes elements fragmentants obstacles a lecoulement reservoir de biodiversite sous-trame trame verte et bleue zones a enjeux
    87 ,Cadastral parcels Utility and governmental services données ouvertes foncier
    88 ,Réseaux de transport desserte données ouvertes point darrêt
    89 ,CARTE Collèges Education Lycées SVIEWER
    90 ,OSM Occupation des terres Open Street Map données ouvertes
    91 ,Strasbourg zones humides
    93 ,BIODIVERSITE Dioxyde dazote MyKey SOCIAL SANTE ET SPORTS
    94 ,Cadastre
    95 ,banque hydro cours deau crues sandre vigicrues
    96 ,Transport networks Utility and governmental services données ouvertes gare
    97 ,Géoportail Ortho-imagerie altitude mnt élévation
    98 ,Géoportail données orthophotographie orthophotoplan photographie aérienne
    99 ,Altitude données ouvertes
   100 ,3D LIDAR Nuage de points altimetrie altitudes
   101 ,Occupation des terres artificialisation consommation despaces imperméabilisation occupation occupation des sols
   102 ,Strasbourg cartographie données de référence moissonnage référentiel
   103 ,Strasbourg cartographie données de référence moissonnage référentiel
