Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.5023531327611004
75% Corpus,2,0.01,0.31,0.5002478802911111
75% Corpus,2,0.01,0.61,0.48485719648384135
75% Corpus,2,0.01,0.9099999999999999,0.5085919424272646
75% Corpus,2,0.01,symmetric,0.5123965102546724
75% Corpus,2,0.31,0.01,0.5023531327611005
75% Corpus,2,0.31,0.31,0.48598649290646223
75% Corpus,2,0.31,0.61,0.4901648048642493
75% Corpus,2,0.31,0.9099999999999999,0.477354936604257
75% Corpus,2,0.31,symmetric,0.5023531327611005
75% Corpus,2,0.61,0.01,0.5123965102546724
75% Corpus,2,0.61,0.31,0.4985109480773772
75% Corpus,2,0.61,0.61,0.4901648048642493
75% Corpus,2,0.61,0.9099999999999999,0.4870586452149648
75% Corpus,2,0.61,symmetric,0.4870586452149648
75% Corpus,2,0.9099999999999999,0.01,0.49712844388725486
75% Corpus,2,0.9099999999999999,0.31,0.4981469645088745
75% Corpus,2,0.9099999999999999,0.61,0.49712844388725486
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.4848571964838414
75% Corpus,2,0.9099999999999999,symmetric,0.4870586452149648
75% Corpus,2,symmetric,0.01,0.47258167621813096
75% Corpus,2,symmetric,0.31,0.47258167621813113
75% Corpus,2,symmetric,0.61,0.4845877862799107
75% Corpus,2,symmetric,0.9099999999999999,0.4901648048642493
75% Corpus,2,symmetric,symmetric,0.49851094807737734
75% Corpus,2,asymmetric,0.01,0.5123965102546725
75% Corpus,2,asymmetric,0.31,0.48811482370697906
75% Corpus,2,asymmetric,0.61,0.4725816762181311
75% Corpus,2,asymmetric,0.9099999999999999,0.5023531327611004
75% Corpus,2,asymmetric,symmetric,0.5023531327611005
75% Corpus,3,0.01,0.01,0.5298990977065993
75% Corpus,3,0.01,0.31,0.44028088765011764
75% Corpus,3,0.01,0.61,0.5488090580964317
75% Corpus,3,0.01,0.9099999999999999,0.6178130043757549
75% Corpus,3,0.01,symmetric,0.5135324292281838
75% Corpus,3,0.31,0.01,0.492249685004772
75% Corpus,3,0.31,0.31,0.4736187190528238
75% Corpus,3,0.31,0.61,0.5619700122044363
75% Corpus,3,0.31,0.9099999999999999,0.5226479235467442
75% Corpus,3,0.31,symmetric,0.5159348851780154
75% Corpus,3,0.61,0.01,0.5302268246027589
75% Corpus,3,0.61,0.31,0.4631105680406207
75% Corpus,3,0.61,0.61,0.5215053464894716
75% Corpus,3,0.61,0.9099999999999999,0.4949101574356159
75% Corpus,3,0.61,symmetric,0.46497187898872516
75% Corpus,3,0.9099999999999999,0.01,0.4547457864418152
75% Corpus,3,0.9099999999999999,0.31,0.6032941708528967
75% Corpus,3,0.9099999999999999,0.61,0.4585111090480127
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.5288063146852756
75% Corpus,3,0.9099999999999999,symmetric,0.45968198511574104
75% Corpus,3,symmetric,0.01,0.4840113089997353
75% Corpus,3,symmetric,0.31,0.5405388449939791
75% Corpus,3,symmetric,0.61,0.5609770015678718
75% Corpus,3,symmetric,0.9099999999999999,0.4970178177364127
75% Corpus,3,symmetric,symmetric,0.5474719502383775
75% Corpus,3,asymmetric,0.01,0.5062256244800595
75% Corpus,3,asymmetric,0.31,0.4946644252333619
75% Corpus,3,asymmetric,0.61,0.4443952851168029
75% Corpus,3,asymmetric,0.9099999999999999,0.4752462716015999
75% Corpus,3,asymmetric,symmetric,0.5256583363274068
75% Corpus,4,0.01,0.01,0.43955987553341697
75% Corpus,4,0.01,0.31,0.4302162264224575
75% Corpus,4,0.01,0.61,0.4862887106333929
75% Corpus,4,0.01,0.9099999999999999,0.48277241619736416
75% Corpus,4,0.01,symmetric,0.5200748255706686
75% Corpus,4,0.31,0.01,0.4147790894253316
75% Corpus,4,0.31,0.31,0.5175503165415867
75% Corpus,4,0.31,0.61,0.45509067448445184
75% Corpus,4,0.31,0.9099999999999999,0.5108788339718936
75% Corpus,4,0.31,symmetric,0.49216807250310923
75% Corpus,4,0.61,0.01,0.3859583518450158
75% Corpus,4,0.61,0.31,0.4464709630249002
75% Corpus,4,0.61,0.61,0.4588632905766258
75% Corpus,4,0.61,0.9099999999999999,0.5037634617026434
75% Corpus,4,0.61,symmetric,0.41567892961904057
75% Corpus,4,0.9099999999999999,0.01,0.3963765463317714
75% Corpus,4,0.9099999999999999,0.31,0.40631884281198777
75% Corpus,4,0.9099999999999999,0.61,0.5019763930094859
